id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
1,0.0,-1.0,-1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,2.0,1.0
3,-1.0,1.0,2.0,-1.0,1.0,0.0,-1.0,0.0,2.0,2.0,-1.0,-1.0
4,-1.0,-1.0,0.0,0.0,2.0,-1.0,0.0,0.0,-1.0,2.0,0.0,-1.0
6,-1.0,0.0,1.0,1.0,2.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0
11,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,2.0,1.0
13,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,2.0,0.0,0.0
16,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,1.0
18,-1.0,-1.0,-1.0,0.0,1.0,-1.0,2.0,-1.0,-1.0,0.0,1.0,1.0
19,0.0,0.0,-1.0,1.0,1.0,-1.0,2.0,0.0,-1.0,0.0,1.0,0.0
21,-1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0
22,1.0,0.0,0.0,2.0,2.0,-1.0,2.0,0.0,-1.0,-1.0,2.0,2.0
29,1.0,-1.0,0.0,1.0,2.0,-1.0,2.0,-1.0,-1.0,0.0,2.0,0.0
30,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,0.0,-1.0,2.0,2.0,0.0
31,0.0,-1.0,-1.0,0.0,2.0,-1.0,1.0,0.0,-1.0,-1.0,2.0,1.0
32,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,2.0,0.0
33,-1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,2.0,1.0,-1.0,-1.0
34,,-1.0,-1.0,0.0,1.0,,0.0,-1.0,-1.0,-1.0,1.0,0.0
35,-1.0,1.0,2.0,1.0,0.0,-1.0,0.0,1.0,1.0,2.0,0.0,0.0
42,-1.0,-1.0,0.0,1.0,2.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0
43,-1.0,-1.0,1.0,0.0,1.0,-1.0,2.0,-1.0,-1.0,2.0,0.0,1.0
