candidate,total_score,rank,strategy,dataset
Philippe.Poutou,467.63718820861686,3,mean_imp,scores_3_pos
Fabien.Roussel,423.84295612009277,4,mean_imp,scores_3_pos
Anne.Hidalgo,388.61502347417843,5,mean_imp,scores_3_pos
Nathalie.Arthaud,303.4339622641507,6,mean_imp,scores_3_pos
Emmanuel.Macron,275.64102564102546,7,mean_imp,scores_3_pos
Jean.Lassalle,196.79562043795633,8,mean_imp,scores_3_pos
Valérie.Pecresse,113.05853658536577,9,mean_imp,scores_3_pos
Nicolas.Dupont.Aignan,60.15710723192027,10,mean_imp,scores_3_pos
Marine.Le.Pen,55.51100244498775,11,mean_imp,scores_3_pos
Eric.Zemmour,46.372549019607945,12,mean_imp,scores_3_pos
Jean.Luc.Mélenchon,726.2416171399221,1,cluster_imp,scores_3_pos
Yannick.Jadot,596.8685435186547,2,cluster_imp,scores_3_pos
Philippe.Poutou,459.97219535662657,3,cluster_imp,scores_3_pos
Fabien.Roussel,425.0957412569795,4,cluster_imp,scores_3_pos
Anne.Hidalgo,382.60019895279515,5,cluster_imp,scores_3_pos
Nathalie.Arthaud,305.0652160929789,6,cluster_imp,scores_3_pos
Emmanuel.Macron,260.4817219855423,7,cluster_imp,scores_3_pos
Jean.Lassalle,194.23876841948254,8,cluster_imp,scores_3_pos
Valérie.Pecresse,106.48564596015873,9,cluster_imp,scores_3_pos
Nicolas.Dupont.Aignan,56.767474271157965,10,cluster_imp,scores_3_pos
Marine.Le.Pen,50.534310864636645,11,cluster_imp,scores_3_pos
Eric.Zemmour,41.894626431606405,12,cluster_imp,scores_3_pos
Jean.Luc.Mélenchon,730,1,knn_imp,scores_3_pos
Yannick.Jadot,596,2,knn_imp,scores_3_pos
Philippe.Poutou,475,3,knn_imp,scores_3_pos
Fabien.Roussel,430,4,knn_imp,scores_3_pos
Anne.Hidalgo,401,5,knn_imp,scores_3_pos
Nathalie.Arthaud,339,6,knn_imp,scores_3_pos
Emmanuel.Macron,266,7,knn_imp,scores_3_pos
Jean.Lassalle,234,8,knn_imp,scores_3_pos
Valérie.Pecresse,151,9,knn_imp,scores_3_pos
Nicolas.Dupont.Aignan,53,10,knn_imp,scores_3_pos
Marine.Le.Pen,48,11,knn_imp,scores_3_pos
Eric.Zemmour,40,12,knn_imp,scores_3_pos
Jean.Luc.Mélenchon,725.2,1,multiple_imp,scores_3_pos
Yannick.Jadot,597.8,2,multiple_imp,scores_3_pos
Philippe.Poutou,459.0000000000001,3,multiple_imp,scores_3_pos
Fabien.Roussel,426.20000000000005,4,multiple_imp,scores_3_pos
Anne.Hidalgo,386.6,5,multiple_imp,scores_3_pos
