id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
351,0,1,0,0,3,0,0,4,0,0,2,0
355,0,0,0,1,0,0,2,0,0,4,3,0
357,1,0,0,0,2,0,3,0,0,0,0,4
358,0,0,0,1,3,0,0,0,0,4,2,0
359,2,0,0,1,0,0,0,0,0,0,3,4
360,2,0,0,0,0,0,1,0,0,0,4,3
362,0,0,0,0,1,0,2,0,0,0,4,3
367,0,0,3,1,0,0,2,0,0,4,0,0
368,0,0,0,3,2,0,1,0,0,0,4,0
370,0,0,0,0,2,0,1,0,0,0,4,3
372,0,0,0,1,3,0,4,0,0,0,2,0
377,0,0,0,3,4,0,0,0,0,0,1,2
379,2,0,0,4,3,0,0,0,0,0,0,1
383,0,0,1,2,4,0,0,0,0,0,3,0
385,0,0,0,3,4,0,1,0,0,0,2,0
387,1,0,0,0,3,0,0,0,0,0,2,4
388,0,0,0,3,4,0,0,0,0,2,1,0
389,0,0,0,3,2,0,0,0,0,0,1,4
390,0,0,3,0,0,0,1,0,2,4,0,0
392,2,0,0,0,1,0,0,0,0,0,4,3
394,2,0,0,0,0,0,1,0,0,0,3,4
396,0,0,0,2,1,0,3,0,0,0,4,0
404,0,0,0,4,3,0,0,1,0,2,0,0
406,0,0,0,3,4,0,2,0,0,0,0,1
408,0,0,0,0,3,0,2,0,0,0,4,1
409,1,0,0,0,3,0,4,0,0,0,0,2
412,0,0,0,1,4,0,3,0,0,0,2,0
416,0,0,0,2,3,0,0,0,0,1,4,0
418,2,0,0,0,1,0,4,0,0,0,3,0
419,0,0,0,2,1,0,0,0,0,0,3,4
420,0,0,0,2,4,0,0,0,0,0,3,1
426,0,0,0,0,1,0,2,0,0,0,4,3
428,0,0,0,0,4,0,1,0,0,2,3,0
430,0,0,0,1,0,0,3,0,0,0,4,2
