dataset,candidate,pooled_mean,within_variance,between_variance,min_rank,max_rank,rank_range,total_variance,pooled_se,rubin_df,critical_value,lower_95,upper_95,pooled_total,pooled_rank
scores_3_neg,Jean.Luc.Mélenchon,0.5670378619153674,5.651825144180115e-4,8.928527140242044e-6,1,1,0,5.758967469863019e-4,0.023997848799138265,11556.520760082012,1.9601692812321097,0.5199980158836437,0.6140777079470912,509.19999999999993,1
scores_3_neg,Yannick.Jadot,0.39799554565701556,5.302882089962401e-4,8.432497854673609e-6,2,2,0,5.404072064218484e-4,0.023246660113268924,11408.46683042655,1.960171945757722,0.3524280946704208,0.4435629966436103,357.4,2
scores_3_neg,Philippe.Poutou,0.1365256124721605,7.520973536605375e-4,5.989553623245858e-5,3,3,0,8.239719971394878e-4,0.0287049124217352,525.694567562949,1.9644868571756322,0.08013518928328414,0.19291603566103685,122.60000000000012,3
scores_3_neg,Fabien.Roussel,0.014031180400891014,5.541750328752149e-4,4.439462105842904e-5,4,4,0,6.074485781453297e-4,0.02464647192085167,520.0628508061399,1.9645359471667383,-0.03438769965845774,0.062450060460239765,12.600000000000131,4
scores_3_neg,Anne.Hidalgo,-0.06748329621380827,5.334479763738752e-4,2.0833229993898914e-5,5,5,0,5.58447852366554e-4,0.023631501271958028,1995.9494253402515,1.961153236108863,-0.11382829140741949,-0.02113830102019707,-60.59999999999983,5
scores_3_neg,Nathalie.Arthaud,-0.17772828507795083,5.948613235110898e-4,9.771776925709674e-5,6,6,0,7.121226466196059e-4,0.026685626217490304,147.52309166919034,1.9761751534373937,-0.23046375656287266,-0.124992813593029,-159.59999999999985,6
scores_3_neg,Emmanuel.Macron,-0.3861915367483296,6.908156174151431e-4,1.7609039637700542e-5,7,7,0,7.119464649803837e-4,0.026682324954553412,4540.67933680719,1.9604865699905965,-0.43850187647785654,-0.3338811970188027,-346.8,7
scores_3_neg,Jean.Lassalle,-0.41202672605790663,4.890052454516287e-4,7.440439283535481e-5,8,8,0,5.782905168540544e-4,0.024047671755370714,167.80020467635543,1.9742022444692016,-0.45950169361161813,-0.36455175850419513,-370.00000000000017,8
scores_3_neg,Valérie.Pecresse,-0.7175946547884189,3.336734258315675e-4,8.43249785467304e-6,9,9,0,3.437924232571751e-4,0.01854164025260913,4617.188686317896,1.9604779082312498,-0.7539451308860303,-0.6812441786908074,-644.4000000000002,9
scores_3_neg,Nicolas.Dupont.Aignan,-0.8198218262806238,2.5504172433007456e-4,1.3268783388971445e-5,10,10,0,2.709642643968403e-4,0.016460992205721996,1158.4020772745293,1.9620139719558347,-0.8521185229805065,-0.7875251295807412,-736.2000000000002,10
