dataset,strategy,candidate,total_score,rank
scores_3_pos,complete_case,Marine.Le.Pen,42,11
scores_3_pos,complete_case,Eric.Zemmour,37,12
scores_3_pos,knn_imp,Jean.Luc.Mélenchon,727.8000000000001,1
scores_3_pos,knn_imp,Yannick.Jadot,599.2,2
scores_3_pos,knn_imp,Philippe.Poutou,465.4,3
scores_3_pos,knn_imp,Fabien.Roussel,430.8,4
scores_3_pos,knn_imp,Anne.Hidalgo,385.19999999999993,5
scores_3_pos,knn_imp,Nathalie.Arthaud,301.20000000000005,6
scores_3_pos,knn_imp,Emmanuel.Macron,255.39999999999995,7
scores_3_pos,knn_imp,Jean.Lassalle,196.40000000000006,8
scores_3_pos,knn_imp,Valérie.Pecresse,108.8000000000001,9
scores_3_pos,knn_imp,Nicolas.Dupont.Aignan,55.40000000000002,10
scores_3_pos,knn_imp,Marine.Le.Pen,48.4,11
scores_3_pos,knn_imp,Eric.Zemmour,40.4,12
scores_3_pos,lowest_rank,Jean.Luc.Mélenchon,715,1
scores_3_pos,lowest_rank,Yannick.Jadot,570,2
scores_3_pos,lowest_rank,Philippe.Poutou,436,3
scores_3_pos,lowest_rank,Fabien.Roussel,388,4
scores_3_pos,lowest_rank,Anne.Hidalgo,350,5
scores_3_pos,lowest_rank,Nathalie.Arthaud,272,6
scores_3_pos,lowest_rank,Emmanuel.Macron,250,7
scores_3_pos,lowest_rank,Jean.Lassalle,171,8
scores_3_pos,lowest_rank,Valérie.Pecresse,98,9
scores_3_pos,lowest_rank,Nicolas.Dupont.Aignan,51,10
scores_3_pos,lowest_rank,Marine.Le.Pen,48,11
scores_3_pos,lowest_rank,Eric.Zemmour,40,12
scores_3_pos,mean_imp,Jean.Luc.Mélenchon,732.0238095238094,1
scores_3_pos,mean_imp,Yannick.Jadot,597.8048780487802,2
scores_3_pos,mean_imp,Philippe.Poutou,467.63718820861686,3
scores_3_pos,mean_imp,Fabien.Roussel,423.84295612009277,4
scores_3_pos,mean_imp,Anne.Hidalgo,388.61502347417843,5
scores_3_pos,mean_imp,Nathalie.Arthaud,303.4339622641507,6
scores_3_pos,mean_imp,Emmanuel.Macron,275.64102564102546,7
scores_3_pos,mean_imp,Jean.Lassalle,196.79562043795633,8
scores_3_pos,mean_imp,Valérie.Pecresse,113.05853658536577,9
scores_3_pos,mean_imp,Nicolas.Dupont.Aignan,60.15710723192027,10
scores_3_pos,mean_imp,Marine.Le.Pen,55.51100244498775,11
scores_3_pos,mean_imp,Eric.Zemmour,46.372549019607945,12
scores_3_pos,multiple_imp,Jean.Luc.Mélenchon,725.2,1
scores_3_pos,multiple_imp,Yannick.Jadot,597.8,2
scores_3_pos,multiple_imp,Philippe.Poutou,459,3
scores_3_pos,multiple_imp,Fabien.Roussel,426.2,4
scores_3_pos,multiple_imp,Anne.Hidalgo,386.6,5
scores_3_pos,multiple_imp,Nathalie.Arthaud,302.40000000000003,6
scores_3_pos,multiple_imp,Emmanuel.Macron,264.6,7
scores_3_pos,multiple_imp,Jean.Lassalle,200.79999999999998,8
scores_3_pos,multiple_imp,Valérie.Pecresse,112.4,9
scores_3_pos,multiple_imp,Nicolas.Dupont.Aignan,61.6,10
scores_3_pos,multiple_imp,Marine.Le.Pen,55.199999999999996,11
scores_3_pos,multiple_imp,Eric.Zemmour,43.80000000000002,12
scores_4_neg,cluster_imp,Jean.Luc.Mélenchon,1137.94609717677,1
scores_4_neg,cluster_imp,Yannick.Jadot,841.5919685671233,2
scores_4_neg,cluster_imp,Philippe.Poutou,588.6345193106727,3
scores_4_neg,cluster_imp,Fabien.Roussel,373.61812021304854,4
scores_4_neg,cluster_imp,Anne.Hidalgo,277.4553877273796,5
scores_4_neg,cluster_imp,Nathalie.Arthaud,160.69893739049962,6
scores_4_neg,cluster_imp,Emmanuel.Macron,-61.426646573652576,7
scores_4_neg,cluster_imp,Jean.Lassalle,-122.36461950382812,8
scores_4_neg,cluster_imp,Valérie.Pecresse,-463.81422948654074,9
scores_4_neg,cluster_imp,Nicolas.Dupont.Aignan,-677.2819187340291,10
scores_4_neg,cluster_imp,Marine.Le.Pen,-701.4357363562079,11
scores_4_neg,cluster_imp,Eric.Zemmour,-754.5786386715263,12
scores_4_neg,complete_case,Jean.Luc.Mélenchon,956,1
scores_4_neg,complete_case,Yannick.Jadot,691,2
scores_4_neg,complete_case,Philippe.Poutou,481,3
scores_4_neg,complete_case,Fabien.Roussel,311,4
scores_4_neg,complete_case,Anne.Hidalgo,215,5
scores_4_neg,complete_case,Nathalie.Arthaud,127,6
scores_4_neg,complete_case,Emmanuel.Macron,-110,7
scores_4_neg,complete_case,Jean.Lassalle,-113,8
scores_4_neg,complete_case,Valérie.Pecresse,-413,9
scores_4_neg,complete_case,Nicolas.Dupont.Aignan,-581,10
scores_4_neg,complete_case,Marine.Le.Pen,-598,11
scores_4_neg,complete_case,Eric.Zemmour,-642,12
scores_4_neg,knn_imp,Jean.Luc.Mélenchon,1133.4,1
scores_4_neg,knn_imp,Yannick.Jadot,842.8,2
scores_4_neg,knn_imp,Philippe.Poutou,579.2000000000002,3
scores_4_neg,knn_imp,Fabien.Roussel,383,4
scores_4_neg,knn_imp,Anne.Hidalgo,281.40000000000003,5
scores_4_neg,knn_imp,Nathalie.Arthaud,160.20000000000002,6
scores_4_neg,knn_imp,Emmanuel.Macron,-86,7
scores_4_neg,knn_imp,Jean.Lassalle,-136,8
scores_4_neg,knn_imp,Valérie.Pecresse,-475.20000000000033,9
scores_4_neg,knn_imp,Nicolas.Dupont.Aignan,-688.1999999999998,10
scores_4_neg,knn_imp,Marine.Le.Pen,-719.5999999999999,11
scores_4_neg,knn_imp,Eric.Zemmour,-768.1999999999999,12
scores_4_neg,lowest_rank,Jean.Luc.Mélenchon,1107,1
scores_4_neg,lowest_rank,Yannick.Jadot,790,2
scores_4_neg,lowest_rank,Philippe.Poutou,512,3
scores_4_neg,lowest_rank,Fabien.Roussel,290,4
scores_4_neg,lowest_rank,Anne.Hidalgo,220,5
scores_4_neg,lowest_rank,Nathalie.Arthaud,91,6
scores_4_neg,lowest_rank,Emmanuel.Macron,-110,7
scores_4_neg,lowest_rank,Jean.Lassalle,-197,8
scores_4_neg,lowest_rank,Valérie.Pecresse,-505,9
scores_4_neg,lowest_rank,Nicolas.Dupont.Aignan,-702,10
scores_4_neg,lowest_rank,Marine.Le.Pen,-722,11
scores_4_neg,lowest_rank,Eric.Zemmour,-771,12
scores_4_neg,mean_imp,Jean.Luc.Mélenchon,1138.1706783369805,1
scores_4_neg,mean_imp,Yannick.Jadot,841.4827968923416,2
