id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
174,0,0,0,0,1,0,0,0,0,0,1,1
175,0,0,1,0,0,0,0,0,0,1,0,0
176,1,0,0,0,1,0,0,0,0,0,1,1
179,0,0,0,0,0,1,0,0,0,1,0,0
180,0,0,0,0,0,0,0,0,1,0,0,0
181,0,0,0,1,1,0,1,0,0,0,0,1
184,1,0,0,0,0,0,1,0,0,0,1,1
185,0,0,0,0,0,0,0,0,0,0,1,0
188,0,0,0,0,1,0,0,0,0,0,1,0
190,0,0,0,0,1,0,0,0,0,1,0,0
191,0,0,0,0,0,0,0,0,0,0,1,1
192,0,0,0,0,1,0,0,0,0,0,1,1
193,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,1,1,0,0,0,0,0,0,0
198,0,0,0,0,1,0,0,0,0,0,1,1
201,0,0,0,1,1,0,1,0,0,0,1,1
202,1,0,0,0,0,0,1,0,0,0,1,1
203,1,0,0,0,0,0,0,0,0,0,1,1
204,0,0,0,0,0,0,1,0,0,0,1,1
206,0,0,0,0,1,0,0,1,0,1,0,0
207,0,0,0,0,1,0,0,0,0,0,1,1
208,0,0,0,0,0,0,0,0,0,0,0,1
211,0,0,0,0,0,0,0,0,0,0,1,1
212,0,0,0,0,0,0,0,0,0,0,1,1
213,1,0,0,0,0,0,1,0,0,0,1,1
220,1,0,0,0,1,0,0,0,0,0,1,1
222,0,0,1,0,1,0,0,0,0,1,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,1,0,0,0,0,0,1,0,0
228,1,0,0,0,1,0,0,0,0,0,1,1
229,1,0,0,0,0,0,1,0,0,0,1,1
231,0,0,0,0,1,0,0,0,0,0,1,1
235,0,0,0,1,1,0,0,0,0,1,1,0
236,0,0,0,0,0,0,0,0,0,0,1,1
238,0,0,0,1,0,0,1,0,0,1,0,0
240,0,0,0,0,0,0,0,0,0,1,0,0
241,0,0,0,0,1,0,0,0,0,0,0,0
242,0,0,0,1,1,0,1,0,0,0,1,1
243,0,0,1,0,0,0,0,0,0,1,0,0
244,0,0,0,0,0,0,0,0,0,0,0,1
245,1,0,0,0,0,0,1,1,0,0,1,1
246,0,0,0,1,1,0,1,1,0,0,1,1
247,0,0,0,0,1,0,0,0,0,0,1,1
250,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,1,1
252,0,0,0,1,1,0,0,0,0,0,0,0
253,1,0,0,0,0,0,0,0,0,0,1,1
254,1,0,0,0,0,0,0,0,0,0,1,1
258,1,0,0,0,0,0,0,0,0,0,1,1
259,0,0,0,0,0,0,1,0,0,0,1,1
260,0,0,1,1,0,0,0,0,0,0,1,0
261,1,0,0,0,0,0,1,0,0,0,1,1
262,0,0,0,0,0,0,0,0,0,0,1,1
263,0,0,0,0,0,0,1,1,1,1,1,0
264,1,0,0,0,1,0,0,0,0,0,1,1
265,0,0,0,0,1,0,0,0,0,0,1,1
266,0,1,0,0,0,0,1,1,1,0,0,0
267,0,0,0,0,1,0,1,0,0,0,1,1
268,1,0,0,0,0,0,1,0,0,0,1,1
271,1,0,0,0,0,0,0,0,0,0,1,1
273,0,0,0,0,0,0,0,0,0,0,1,1
274,0,0,0,1,1,0,1,0,0,0,1,0
276,0,0,0,0,1,0,0,0,0,0,1,1
277,0,0,0,0,0,0,0,0,0,0,1,1
278,1,0,0,0,0,0,1,0,0,0,1,1
279,1,0,0,0,1,0,0,0,0,0,1,1
282,1,0,0,0,0,0,0,0,0,0,1,1
283,0,0,0,0,0,0,1,0,0,0,1,0
285,1,0,0,0,0,0,0,0,0,0,1,1
286,1,0,0,1,1,0,0,0,0,0,1,1
288,0,0,0,1,0,0,1,0,0,0,1,1
290,0,0,0,0,1,0,0,0,0,1,0,0
294,0,0,0,0,1,1,1,1,0,1,1,0
296,0,0,0,0,0,0,0,0,0,0,1,0
297,0,0,0,0,0,0,0,0,0,1,0,0
301,0,0,0,1,1,0,1,0,0,0,1,0
303,0,0,0,0,1,0,1,0,0,0,1,0
305,0,0,0,0,0,0,0,0,0,0,1,1
308,1,0,0,0,1,0,0,0,0,0,1,1
309,0,1,0,0,0,0,1,1,1,0,1,0
310,1,0,0,0,0,1,1,1,1,0,1,1
311,0,0,0,0,0,0,0,0,0,0,1,1
313,0,0,0,0,1,0,0,0,0,1,0,0
318,0,0,0,1,0,0,0,0,0,1,0,0
319,0,0,0,1,1,0,0,0,0,1,1,0
320,0,0,0,0,1,0,0,0,0,1,0,0
321,1,0,0,0,1,0,0,0,0,0,1,1
322,0,0,0,0,0,0,0,0,0,0,1,0
327,0,0,0,0,1,0,1,0,0,0,1,1
328,0,0,0,0,0,0,1,0,0,0,1,1
330,1,0,0,0,0,0,1,0,0,0,1,1
331,0,0,0,1,1,0,0,0,0,0,1,1
332,0,0,0,0,1,0,1,0,0,0,1,1
333,1,0,0,0,1,0,1,0,0,0,1,1
336,1,0,0,0,1,0,1,0,0,0,1,1
337,0,0,0,0,1,0,0,0,0,0,1,1
338,0,0,0,1,1,0,0,0,0,0,1,0
339,0,0,0,0,1,0,0,0,0,0,1,1
340,0,0,0,1,1,0,0,0,0,1,0,0
341,1,0,0,1,1,0,0,0,0,0,1,1
342,1,0,0,1,0,0,1,0,0,0,1,1
343,0,0,0,0,1,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,1,1
347,0,0,0,0,1,0,1,0,0,0,1,1
349,0,0,1,1,0,0,0,0,0,1,0,0
350,0,0,0,0,1,0,0,0,0,0,1,0
351,0,0,0,0,0,0,0,1,0,0,0,0
352,1,0,0,0,0,0,0,0,0,0,1,1
353,0,0,0,0,1,0,0,0,0,1,0,0
354,0,0,0,1,1,0,0,0,0,1,0,0
